allele,gene,rsid,chr,pos,dataset
*2,NUDT15,rs116855232,13,48045719,Topmed Modified
*3,NUDT15,rs116855232,13,48045719,Topmed Modified
*4,NUDT15,rs147390019,13,48045720,Topmed Modified
*5,CYP2B6,rs3211371,19,41016810,Topmed Modified
*6,CYP2B6,rs3745274,19,41006936,Topmed Modified
*7,CYP2B6,rs3745274,19,41006936,Topmed Modified
*7,CYP2B6,rs3211371,19,41016810,Topmed Modified
*8,CYP2B6,rs12721655,19,41004377,Topmed Modified
*9,CYP2B6,rs3745274,19,41006936,Topmed Modified
*10,CYP2B6,rs34883432,19,40991367,Topmed Modified
*11,CYP2B6,rs35303484,19,40991441,Topmed Modified
*13,CYP2B6,rs12721655,19,41004377,Topmed Modified
*13,CYP2B6,rs3745274,19,41006936,Topmed Modified
*14,CYP2B6,rs35773040,19,41004381,Topmed Modified
*15,CYP2B6,rs35979566,19,41012693,Topmed Modified
*17,CYP2B6,rs33973337,19,40991381,Topmed Modified
*18,CYP2B6,rs28399499,19,41012316,Topmed Modified
*19,CYP2B6,rs3745274,19,41006936,Topmed Modified
*20,CYP2B6,rs3745274,19,41006936,Topmed Modified
*22,CYP2B6,rs34223104,19,40991224,Topmed Modified
*23,CYP2B6,rs3211369,19,41016726,Topmed Modified
*26,CYP2B6,rs3745274,19,41006936,Topmed Modified
*33,CYP2B6,rs3211371,19,41016810,Topmed Modified
*34,CYP2B6,rs34223104,19,40991224,Topmed Modified
*34,CYP2B6,rs3745274,19,41006936,Topmed Modified
*34,CYP2B6,rs3211371,19,41016810,Topmed Modified
*35,CYP2B6,rs34223104,19,40991224,Topmed Modified
*36,CYP2B6,rs34223104,19,40991224,Topmed Modified
*36,CYP2B6,rs3745274,19,41006936,Topmed Modified
*37,CYP2B6,rs3745274,19,41006936,Topmed Modified
*38,CYP2B6,rs3745274,19,41006936,Topmed Modified
*39,CYP2B6,rs3745274,19,41006936,Topmed Modified
*40,CYP2B6,rs3745274,19,41006936,Topmed Modified
*41,CYP2B6,rs3745274,19,41006936,Topmed Modified
*42,CYP2B6,rs3745274,19,41006936,Topmed Modified
*43,CYP2B6,rs3745274,19,41006936,Topmed Modified
*45,CYP2B6,rs58871670,19,41006967,Topmed Modified
*2,CYP4F2,rs3093105,19,15897578,Topmed Modified
*3,CYP4F2,rs2108622,19,15879621,Topmed Modified
*4,CYP4F2,rs3093105,19,15897578,Topmed Modified
*4,CYP4F2,rs2108622,19,15879621,Topmed Modified
*5,CYP4F2,rs3093200,19,15878779,Topmed Modified
*6,CYP4F2,rs3093153,19,15890405,Topmed Modified
*7,CYP4F2,rs114099324,19,15897566,Topmed Modified
*3,CYP3A4,rs4986910,7,99760901,Topmed Modified
*7,CYP3A4,rs56324128,7,99778079,Topmed Modified
*10,CYP3A4,rs4986908,7,99769769,Topmed Modified
