allele,gene,rsid,chr,pos,dataset
*2,NUDT15,rs116855232,13,48045719,Topmed Standard
*3,NUDT15,rs116855232,13,48045719,Topmed Standard
*4,NUDT15,rs147390019,13,48045720,Topmed Standard
*5,CYP2B6,rs3211371,19,41016810,Topmed Standard
*6,CYP2B6,rs3745274,19,41006936,Topmed Standard
*7,CYP2B6,rs3745274,19,41006936,Topmed Standard
*7,CYP2B6,rs3211371,19,41016810,Topmed Standard
*8,CYP2B6,rs12721655,19,41004377,Topmed Standard
*9,CYP2B6,rs3745274,19,41006936,Topmed Standard
*10,CYP2B6,rs34883432,19,40991367,Topmed Standard
*11,CYP2B6,rs35303484,19,40991441,Topmed Standard
*13,CYP2B6,rs12721655,19,41004377,Topmed Standard
*13,CYP2B6,rs3745274,19,41006936,Topmed Standard
*14,CYP2B6,rs35773040,19,41004381,Topmed Standard
*15,CYP2B6,rs35979566,19,41012693,Topmed Standard
*17,CYP2B6,rs33973337,19,40991381,Topmed Standard
*18,CYP2B6,rs28399499,19,41012316,Topmed Standard
*19,CYP2B6,rs3745274,19,41006936,Topmed Standard
*20,CYP2B6,rs3745274,19,41006936,Topmed Standard
*22,CYP2B6,rs34223104,19,40991224,Topmed Standard
*26,CYP2B6,rs3745274,19,41006936,Topmed Standard
*33,CYP2B6,rs3211371,19,41016810,Topmed Standard
*34,CYP2B6,rs34223104,19,40991224,Topmed Standard
*34,CYP2B6,rs3745274,19,41006936,Topmed Standard
*34,CYP2B6,rs3211371,19,41016810,Topmed Standard
*35,CYP2B6,rs34223104,19,40991224,Topmed Standard
*36,CYP2B6,rs34223104,19,40991224,Topmed Standard
*36,CYP2B6,rs3745274,19,41006936,Topmed Standard
*37,CYP2B6,rs3745274,19,41006936,Topmed Standard
*38,CYP2B6,rs3745274,19,41006936,Topmed Standard
*39,CYP2B6,rs3745274,19,41006936,Topmed Standard
*40,CYP2B6,rs3745274,19,41006936,Topmed Standard
*41,CYP2B6,rs3745274,19,41006936,Topmed Standard
*42,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*45,CYP2B6,rs58871670,19,41006967,Topmed Standard
*2,CYP4F2,rs3093105,19,15897578,Topmed Standard
*3,CYP4F2,rs2108622,19,15879621,Topmed Standard
*4,CYP4F2,rs3093105,19,15897578,Topmed Standard
*4,CYP4F2,rs2108622,19,15879621,Topmed Standard
*5,CYP4F2,rs3093200,19,15878779,Topmed Standard
*6,CYP4F2,rs3093153,19,15890405,Topmed Standard
*7,CYP4F2,rs114099324,19,15897566,Topmed Standard
*3,CYP3A4,rs4986910,7,99760901,Topmed Standard
*7,CYP3A4,rs56324128,7,99778079,Topmed Standard
*10,CYP3A4,rs4986908,7,99769769,Topmed Standard
*15,CYP3A4,rs4986907,7,99769804,Topmed Standard
*18,CYP3A4,rs28371759,7,99764003,Topmed Standard
*22,CYP3A4,rs35599367,7,99768693,Topmed Standard
*37,CYP3A4,rs35599367,7,99768693,Topmed Standard
*37,CYP3A4,rs4986910,7,99760901,Topmed Standard
*38,CYP3A4,rs4986910,7,99760901,Topmed Standard
*3,CYP3A5,rs776746,7,99672916,Topmed Standard
*6,CYP3A5,rs10264272,7,99665212,Topmed Standard
*7,CYP3A5,rs41303343,7,99652770,Topmed Standard
*4,SLCO1B1,rs11045819,12,21176879,Topmed Standard
*5,SLCO1B1,rs4149056,12,21178615,Topmed Standard
*9,SLCO1B1,rs59502379,12,21205999,Topmed Standard
*14,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*14,SLCO1B1,rs11045819,12,21176879,Topmed Standard
*15,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*15,SLCO1B1,rs4149056,12,21178615,Topmed Standard
*19,SLCO1B1,rs34671512,12,21239042,Topmed Standard
*20,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*20,SLCO1B1,rs34671512,12,21239042,Topmed Standard
*24,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*24,SLCO1B1,rs11045852,12,21196951,Topmed Standard
*25,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*25,SLCO1B1,rs11045819,12,21176879,Topmed Standard
*25,SLCO1B1,rs11045852,12,21196951,Topmed Standard
*27,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*27,SLCO1B1,rs59113707,12,21202555,Topmed Standard
*28,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*28,SLCO1B1,rs11045852,12,21196951,Topmed Standard
*29,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*30,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*30,SLCO1B1,rs79135870,12,21178957,Topmed Standard
*31,SLCO1B1,rs2306283,12,21176804,Topmed Standard
*31,SLCO1B1,rs59502379,12,21205999,Topmed Standard
