allele,gene,rsid,chr,pos,dataset
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*10,CYP2C19,rs6413438,10,94781858,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*11,CYP2C19,rs58973490,10,94775507,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*12,CYP2C19,rs55640102,10,94852914,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*13,CYP2C19,rs17879685,10,94849995,Topmed Standard
*14,CYP2C19,rs55752064,10,94762755,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs17882687,10,94762760,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*16,CYP2C19,rs192154563,10,94852765,Topmed Standard
*17,CYP2C19,rs12248560,10,94761900,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*18,CYP2C19,rs138142612,10,94842861,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*19,CYP2C19,rs1564657013,10,94762856,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*35,CYP2C19,rs12769205,10,94775367,Topmed Standard
*2,CYP2C19,rs4244285,10,94781859,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*22,CYP2C19,rs140278421,10,94780574,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*23,CYP2C19,rs118203756,10,94775160,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*24,CYP2C19,rs118203757,10,94842879,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*25,CYP2C19,rs118203759,10,94852785,Topmed Standard
*26,CYP2C19,rs375781227,10,94781944,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs17882687,10,94762760,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*28,CYP2C19,rs113934938,10,94842995,Topmed Standard
*29,CYP2C19,rs1564656981,10,94762788,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*3,CYP2C19,rs4986893,10,94780653,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*30,CYP2C19,rs145328984,10,94775106,Topmed Standard
*31,CYP2C19,rs1564660997,10,94775121,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*32,CYP2C19,rs1288601658,10,94775185,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*33,CYP2C19,rs370803989,10,94780579,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*34,CYP2C19,rs367543002,10,94762712,Topmed Standard
*34,CYP2C19,rs367543003,10,94762715,Topmed Standard
*35,CYP2C19,rs12769205,10,94775367,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs17882687,10,94762760,Topmed Standard
*39,CYP2C19,rs17885179,10,94775423,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*4,CYP2C19,rs28399504,10,94762706,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*5,CYP2C19,rs56337013,10,94852738,Topmed Standard
*6,CYP2C19,rs72552267,10,94775453,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*7,CYP2C19,rs72558186,10,94781999,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*8,CYP2C19,rs41291556,10,94775416,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*9,CYP2C19,rs17884712,10,94775489,Topmed Standard
*39,CYP2C19,rs3758581,10,94842866,Topmed Standard
*10,NUDT15,rs769369441,13,48037748,Topmed Standard
*11,NUDT15,rs1950545307,13,48037885,Topmed Standard
